city,lat,lng,max_temp,humidity,wind_speed,cloudiness,date,country
Mizdah,31.45,12.98,61.268000000000086,71,5.39,86,1602967217,LY
São Miguel do Araguaia,-13.28,-50.16,92.40800000000002,29,1.28,75,1602967217,BR
Chui,-33.7,-53.46,68.07200000000003,74,5.12,98,1602967217,UY
Taoudenni,22.68,-3.98,87.00800000000001,19,3.47,0,1602967217,ML
Visakhapatnam,17.69,83.21,80.00600000000003,81,2.0,97,1602967218,IN
Tuatapere,-46.13,167.68,48.00200000000008,82,1.34,85,1602967218,NZ
Preobrazheniye,42.9,133.91,50.09000000000002,82,4.04,7,1602967218,RU
Ayorou,14.73,0.92,96.29600000000005,18,3.07,77,1602967218,NE
Poum,-20.23,164.02,72.53600000000007,77,4.28,19,1602967218,NC
Itaituba,-4.28,-55.98,80.63600000000008,74,1.16,98,1602967219,BR
Richards Bay,-28.78,32.04,71.09600000000006,81,6.83,1,1602967219,ZA
Grindavik,63.84,-22.43,44.6,100,3.6,75,1602967219,IS
Deputatsky,69.3,139.9,13.406000000000027,97,4.66,100,1602967219,RU
Muros,42.78,-9.06,57.00200000000008,89,0.45,100,1602967220,ES
Sausar,21.65,78.78,77.0,94,1.07,20,1602967220,IN
Hervey Bay,-25.3,152.85,68.0,93,1.0,40,1602967220,AU
Belozërskoye,55.82,65.58,33.76400000000003,87,5.76,0,1602967221,RU
Tochigi,36.38,139.73,57.992,93,1.5,90,1602967221,JP
Portland,-38.33,141.6,49.658,76,3.48,81,1602967222,AU
Bilibino,68.05,166.44,21.50600000000003,96,1.5,99,1602967222,RU
Nantucket,41.28,-70.1,57.2,47,5.7,1,1602967154,US
Hohhot,40.81,111.65,28.4,63,1.0,21,1602967222,CN
Bilma,18.69,12.92,83.858,16,0.64,0,1602967223,NE
Villamontes,-21.25,-63.5,93.66800000000009,31,1.56,100,1602967223,BO
Keti Bandar,24.14,67.45,85.91000000000008,64,2.65,86,1602967223,PK
Jardim,-21.48,-56.14,85.892,55,1.72,33,1602966945,BR
Port Hedland,-20.32,118.57,69.80000000000001,88,4.1,0,1602967224,AU
Hambantota,6.12,81.12,77.81000000000009,82,7.23,93,1602967224,LK
Puerto Carreño,6.19,-67.49,89.11400000000003,57,0.25,100,1602967103,CO
São Filipe,14.9,-24.5,80.042,81,1.49,16,1602967225,CV
Abhā,18.22,42.51,64.4,17,2.6,0,1602967225,SA
Husavik,66.04,-17.34,48.2,66,6.2,90,1602967225,IS
Katsuura,35.13,140.3,57.2,82,6.2,75,1602967092,JP
Wanxian,30.8,108.39,58.658,83,0.53,100,1602967226,CN
Zhicheng,30.3,111.5,53.00600000000003,62,1.01,83,1602967226,CN
Maragogi,-9.01,-35.22,76.87400000000002,80,4.95,71,1602967226,BR
Aginskoye,51.1,114.53,29.75,88,3.9,100,1602967226,RU
Nassau,25.06,-77.34,84.2,70,5.1,75,1602967227,BS
Liverpool,44.03,-64.72,57.00200000000008,91,3.58,100,1602967227,CA
Bāgeshwar,29.85,79.77,62.34800000000003,44,1.06,0,1602967227,IN
Bubaque,11.28,-15.83,83.10200000000009,81,3.3,56,1602967228,GW
Rostock,54.09,12.14,48.992,75,2.6,75,1602967228,DE
Manta,-0.95,-80.73,84.2,62,2.1,20,1602967228,EC
Eirunepé,-6.66,-69.87,86.30600000000004,58,0.35,60,1602967006,BR
Sibolga,1.74,98.78,75.74000000000002,78,1.32,100,1602967228,ID
Narsaq,60.92,-46.05,39.2,79,0.5,4,1602967229,GL
Spirit River,55.78,-118.84,23.0,67,3.6,75,1602967229,CA
Cockburn Town,24.03,-74.52,83.39000000000001,77,6.18,23,1602967229,BS
Taltal,-25.4,-70.48,64.79600000000005,59,3.37,22,1602967230,CL
Mount Gambier,-37.83,140.77,46.4,81,1.5,90,1602967230,AU
Lorengau,-2.02,147.27,82.00400000000005,78,4.05,86,1602967230,PG
Mana,5.66,-53.78,82.61600000000001,76,5.29,100,1602967230,GF
Najrān,17.49,44.13,68.0,35,0.88,0,1602967231,SA
Mirny,62.54,113.96,8.599999999999998,84,2.0,5,1602967231,RU
Pudozh,61.81,36.53,38.354000000000056,80,4.87,99,1602967231,RU
Laguna,-28.48,-48.78,68.25200000000008,79,5.95,89,1602967231,BR
Dongsheng,39.82,109.98,38.04800000000002,58,2.03,7,1602967053,CN
Sechura,-5.56,-80.82,73.41800000000009,61,6.77,46,1602967232,PE
Saint-Pierre,46.77,-56.17,53.6,100,7.2,90,1602967232,PM
Kupang,-10.17,123.58,78.36800000000008,75,1.63,24,1602967233,ID
Foshan,23.03,113.13,71.00600000000003,64,6.0,40,1602967233,CN
Beidao,34.57,105.89,51.17000000000006,69,0.23,98,1602967233,CN
Pathein,16.78,94.73,74.53399999999999,91,2.66,86,1602967233,MM
Stillwater,36.12,-97.06,78.80000000000001,29,9.8,1,1602967234,US
Kalabo,-14.97,22.68,76.92800000000007,23,2.74,1,1602967234,ZM
Oriximiná,-1.77,-55.87,86.32400000000001,54,1.59,58,1602967235,BR
Buraidah,26.33,43.98,71.6,26,1.0,0,1602967235,SA
Cabo San Lucas,22.89,-109.91,89.00600000000003,74,4.6,40,1602967235,MX
Tommot,58.96,126.29,17.40200000000008,95,1.5,90,1602967235,RU
Soverato Marina,38.69,16.55,60.8,77,2.1,32,1602967236,IT
Sulangan,11.14,123.72,83.69600000000005,74,3.43,100,1602967236,PH
Khvoynaya,58.9,34.53,35.00600000000003,86,2.33,79,1602967237,RU
Tigil',57.8,158.67,32.378000000000064,95,4.35,64,1602967237,RU
Awjilah,29.11,21.29,82.63399999999999,21,4.42,0,1602967237,LY
Katobu,-4.94,122.53,73.72400000000002,80,1.22,98,1602967237,ID
Rio Grande,-32.03,-52.1,71.99600000000005,69,3.58,47,1602967238,BR
Itarema,-2.92,-39.92,79.73600000000008,76,6.89,78,1602967238,BR
Ambilobe,-13.2,49.05,72.33800000000005,78,1.49,11,1602967238,MG
Bangassou,4.74,22.82,71.78000000000004,85,0.23,29,1602967238,CF
Wajima,37.4,136.9,59.88200000000002,65,1.18,2,1602967238,JP
Luau,-10.71,22.22,73.99400000000009,54,1.33,55,1602967239,AO
Lebowakgomo,-24.2,29.5,73.4,35,4.1,0,1602967239,ZA
Casa Branca,-21.77,-47.09,72.48200000000003,73,3.47,96,1602967239,BR
Vestmanna,62.16,-7.17,37.4,74,1.0,100,1602967239,FO
Simao,22.79,100.97,57.12800000000007,91,1.08,72,1602967240,CN
Balkhash,46.84,74.98,50.81000000000009,47,2.72,3,1602967240,KZ
Iracoubo,5.48,-53.2,82.47200000000004,76,5.64,97,1602967240,GF
La Ronge,55.1,-105.28,26.6,79,7.2,90,1602967240,CA
Nouadhibou,20.93,-17.03,78.80000000000001,50,7.2,0,1602967240,MR
Marshall,34.38,-86.33,68.0,31,2.1,1,1602967241,US
Rabo de Peixe,37.8,-25.58,62.6,82,5.7,20,1602967241,PT
Devarkonda,16.7,78.93,74.174,84,1.19,72,1602967241,IN
Port Augusta,-32.5,137.77,55.400000000000006,62,5.7,90,1602967242,AU
Sioux Falls,43.55,-96.7,53.6,50,7.2,90,1602967018,US
Port Lincoln,-34.73,135.87,51.47600000000009,71,4.07,24,1602967050,AU
Lichinga,-13.31,35.24,69.80000000000001,60,3.1,40,1602967243,MZ
Vidim,56.41,103.11,38.82200000000004,93,3.55,100,1602967243,RU
Gayny,60.31,54.32,29.33600000000007,97,2.91,26,1602967244,RU
Mujiayingzi,42.12,118.78,40.478000000000065,63,1.16,0,1602967244,CN
Departamento de Maldonado,-34.67,-54.92,80.6,47,2.1,100,1602967244,UY
Midyat,37.42,41.34,57.2,50,2.1,0,1602967245,TR
Jalapa,13.92,-86.12,80.61800000000008,71,2.72,22,1602967245,NI
Broken Hill,-31.95,141.43,44.6,93,4.6,9,1602967245,AU
Tsaratanana,-16.78,47.65,77.234,48,2.24,95,1602967246,MG
Mackenzie,55.3,-123.17,30.2,46,2.11,1,1602966994,CA
Pontian Kecil,1.48,103.39,78.99800000000002,94,2.07,20,1602967246,MY
Hargeisa,9.56,44.06,68.97200000000004,49,1.59,2,1602967246,SO
San Jeronimo,29.37,-110.79,96.99800000000003,35,4.02,63,1602967247,MX
